"","Produkt","Kategoria","Segment","Sprzedaz2013","Sprzedaz2014","Marza2013","Marza2014","Sztuki2013","Sztuki2014"
"1","Produkt 21","Skin care","Sun care","547","164",245,49,215,63
"2","Produkt 26","Skin care","Hand and body care","410","1,044",185,421,152,356
"3","Produkt 1","Skin care","Facial care","437","520",196,193,156,200
"4","Produkt 6","Skin care","Sun care","335","419",150,164,141,169
"5","Produkt 11","Skin care","Hand and body care","439","925",197,371,176,326
"6","Produkt 16","Skin care","Facial care","14","10",5,-60,6,4
"7","Produkt 21","Skin care","Sun care","152","720",68,256,53,256
"8","Produkt 26","Skin care","Hand and body care","701","871",314,330,305,420
"9","Produkt 1","Skin care","Facial care","25","348",11,132,10,142
"10","Produkt 6","Skin care","Sun care","961","13",431,-48,448,5
"11","Produkt 11","Skin care","Hand and body care","355","992",158,400,151,409
"12","Produkt 16","Skin care","Facial care","481","162",215,29,221,64
"13","Produkt 21","Skin care","Sun care","909","649",408,250,343,321
"14","Produkt 26","Skin care","Hand and body care","526","5",235,-67,235,2
"15","Produkt 1","Skin care","Facial care","210","554",94,180,75,233
"16","Produkt 6","Skin care","Sun care","82","1,022",36,443,31,510
"17","Produkt 11","Skin care","Hand and body care","702","432",316,171,283,148
"18","Produkt 16","Skin care","Facial care","69","72",29,-24,26,31
"19","Produkt 21","Skin care","Sun care","992","447",445,170,372,185
"20","Produkt 26","Skin care","Hand and body care","589","619",264,242,208,308
"21","Produkt 1","Skin care","Facial care","474","1,057",211,409,208,416
"22","Produkt 6","Skin care","Sun care","754","58",339,-36,284,29
"23","Produkt 11","Skin care","Hand and body care","295","861",131,333,105,352
"24","Produkt 16","Skin care","Facial care","424","588",189,222,180,210
"25","Produkt 21","Skin care","Sun care","681","983",307,410,315,489
"26","Produkt 26","Skin care","Hand and body care","844","797",378,311,406,311
"27","Produkt 1","Skin care","Facial care","262","681",117,293,103,244
"28","Produkt 6","Skin care","Sun care","624","263",280,101,259,131
"29","Produkt 11","Skin care","Hand and body care","238","872",105,377,102,334
"30","Produkt 16","Skin care","Facial care","456","178",205,28,175,68
"31","Produkt 21","Skin care","Sun care","486","268",217,66,174,99
"32","Produkt 26","Skin care","Hand and body care","97","142",42,-4,40,54
"33","Produkt 1","Skin care","Facial care","663","661",297,233,254,265
"34","Produkt 6","Skin care","Sun care","605","899",271,333,226,425
"35","Produkt 11","Skin care","Hand and body care","742","766",332,303,296,297
"36","Produkt 16","Skin care","Facial care","932","767",420,273,394,295
"37","Produkt 21","Skin care","Sun care","380","479",171,199,134,203
"38","Produkt 26","Skin care","Hand and body care","915","544",411,225,321,221
